2020-08-13 19:09:56 [ERROR pid is 0 ,need create
2020-08-14 14:09:25 [ERROR error getting mining info => connection outage...                               
2020-08-19 22:43:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:44:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:45:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:46:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:47:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:48:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:49:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:50:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:51:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:52:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:53:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:54:01 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:55:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:56:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:57:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:58:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 22:59:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:00:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:01:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:02:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:03:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:04:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:05:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:06:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:07:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:08:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:09:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:10:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:11:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:12:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:13:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:14:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:15:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:16:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:17:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:18:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:19:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:20:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:21:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:22:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:23:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:24:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:25:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:26:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:27:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:28:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:29:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:30:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:31:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:32:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:33:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:34:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:35:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:36:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:37:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:38:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:39:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:40:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:41:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:42:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:43:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:44:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:45:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:46:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:47:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:48:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:49:02 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:50:03 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:51:03 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:52:03 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:53:03 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:54:03 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:55:03 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:56:03 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:57:03 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:58:03 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 23:59:03 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-20 00:00:03 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-20 00:01:03 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-20 00:02:03 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-20 00:03:03 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-20 00:04:03 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-20 00:05:03 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-20 00:06:03 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-20 00:07:03 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-20 00:08:03 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-20 00:09:03 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-20 00:10:03 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-20 00:11:03 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-20 00:12:03 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-20 00:13:03 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-20 00:14:03 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
